,Entropy,Divergency,Complexity
0,0.9998849944422907,0.00023451315263686584,0.00023448600436380105
1,0.9996469005374633,0.0007117405840880455,0.0007114874952707176
2,0.9988781611711156,0.002215282828754826,0.0022127894242714064
3,0.9974112430939509,0.004998677564730295,0.004985716118275776
4,0.9951807767931657,0.009080703749546963,0.009036904882853445
5,0.9920719769602414,0.014573285343894885,0.014457656215006975
6,0.9875334231038586,0.022256987108371408,0.0219793683670539
7,0.9814301782660187,0.03204155336967784,0.031445822009832015
8,0.9733445636627879,0.044357109111670165,0.04317386438464602
9,0.9631668361421752,0.05908196108753648,0.05690453913037294
10,0.9502003071592001,0.0768846617233851,0.07305242989078217
11,0.9342436819022015,0.09768480027505792,0.09125696430778082
12,0.9120455220338738,0.12450431878288182,0.11354572561022112
13,0.8868396366310721,0.15369369540523395,0.13628100784170286
14,0.8517357580979146,0.19110543426599158,0.16267473800347915
15,0.8133332014962079,0.2309448524524386,0.18772642958339955
16,0.763598908852245,0.27940939353484917,0.21321215742017582
17,0.7100907228121092,0.33057385340266976,0.2344185334741807
18,0.6348640181956964,0.39689785837003716,0.25131315549882954
19,0.580250489250013,0.44897226881197877,0.25976967065568607
20,0.5099493161546899,0.5121388933152384,0.26005851546130937
21,0.43500525042237215,0.5783511722436184,0.25008371996381307
22,0.3534731035985865,0.6497262808937813,0.22812507331053034
23,0.3185089598829106,0.6864359947694425,0.21748161596543278
24,0.24398646595423334,0.7531031263428655,0.1819624097306252
25,0.21069886186525094,0.7865429274615469,0.16462261065800315
26,0.167595250353067,0.8275076440061706,0.1380461839998053
27,0.12787105902660867,0.8652480360972272,0.10989499692096073
28,0.0967141231947337,0.8954951573136575,0.08607497053110251
29,0.07867602213618168,0.9144765846042079,0.07156442065582641
30,0.06289202236687741,0.9309244432937561,0.058222323329390105
31,0.04743776043097273,0.9466694595088577,0.04466923740387933
32,0.034934828297249934,0.9593944960396035,0.03335389759823575
33,0.02703269154090944,0.9678817636091228,0.02608438325563277
34,0.023061620183156942,0.9727261467368636,0.02233657265763341
35,0.017552597062240324,0.9786196670714546,0.0171302188673857
36,0.014165897237684156,0.9825917531464603,0.013869709701829458
37,0.01063220754912967,0.9862651365331677,0.01047260103555241
38,0.009022897404834841,0.988443129465389,0.008895090104508029
39,0.00628022612361258,0.9914609630149414,0.006217533685976524
40,0.00569357081941512,0.9922662392462647,0.005642069843018696
