,Entropy,Divergency,Complexity
0,1.0,0.0,0.0
1,0.9999999956308275,6.076100816869238e-09,6.0761007903217056e-09
2,0.9999999825167493,2.4317331596031173e-08,2.4317331170885166e-08
3,0.9999999606479093,5.474311759674417e-08,5.474311544248804e-08
4,0.9999999300144322,9.737293001274065e-08,9.737292319804086e-08
5,0.9999998906064234,1.5222628709752246e-07,1.5222627044494445e-07
6,0.9999998424139686,2.1932275119236775e-07,2.193227166301658e-07
7,0.999999785427134,2.9868193327965883e-07,2.986818691906204e-07
8,0.9999997196359665,3.903234882835494e-07,3.903233788508818e-07
9,0.9999996450304927,4.942671193990557e-07,4.942669439492998e-07
10,0.9999995616007199,6.105325755010124e-07,6.105323078439708e-07
11,0.9999994693366355,7.391396530474025e-07,7.391392608130674e-07
12,0.9999993682282073,8.801081945360088e-07,8.801076385084771e-07
13,0.9999992582653832,1.0334580910519708e-06,1.0334573245003296e-06
14,0.9999991394380904,1.1992092791891886e-06,1.1992082471953612e-06
15,0.9999990117362367,1.3773817440227185e-06,1.3773803828062527e-06
16,0.9999988751497102,1.56799551877851e-06,1.5679937550182963e-06
17,0.9999987296683781,1.7710706826374044e-06,1.7710684327903117e-06
18,0.9999985752820876,1.986627364983649e-06,1.986624534600057e-06
19,0.9999984119806656,2.214685740761952e-06,2.2146822237981762e-06
20,0.9999982397539191,2.4552660351802035e-06,2.4552617133077876e-06
21,0.999998058591634,2.7083885207279516e-06,2.7083832626398193e-06
22,0.9999978684835767,2.974073519272236e-06,2.974067179985686e-06
23,0.9999976694194921,3.252341400309088e-06,3.2523338204656153e-06
24,0.9999974613891052,3.543212583330033e-06,3.543203588491966e-06
25,0.9999972443821198,3.846707535428293e-06,3.846696935372228e-06
26,0.9999970183882197,4.162846774597741e-06,4.162834362604758e-06
27,0.9999967833970673,4.491650866950815e-06,4.491636419093464e-06
28,0.9999965393983047,4.833140428215316e-06,4.8331237026413566e-06
29,0.9999962863815525,5.187336124550918e-06,5.1873168607637925e-06
30,0.9999960243364107,5.554258671086619e-06,5.554236589222655e-06
31,0.9999957532524585,5.9339288335949745e-06,5.9339036336972885e-06
32,0.9999954731192539,6.326367427158522e-06,6.326338788447623e-06
33,0.9999951839263331,6.7315953182308015e-06,6.731562898371853e-06
34,0.999994885663212,7.149633423460068e-06,7.14959685782683e-06
35,0.999994578319385,7.580502709469742e-06,7.580461610405149e-06
36,0.9999942618843247,8.024224194692462e-06,8.024178150765829e-06
37,0.9999939363474828,8.480818947604802e-06,8.480767522865642e-06
38,0.9999936016982892,8.950308088987657e-06,8.9502508222161e-06
39,0.9999932579261523,9.43271279002041e-06,9.432649193974195e-06
40,0.9999929050204591,9.928054273985192e-06,9.927983834643238e-06
41,0.9999925429705748,1.043635381547861e-05,1.0436275991281117e-05
42,0.999992171765843,1.0957632740878442e-05,1.095754696196354e-05
43,0.9999917913955851,1.1491912429394027e-05,1.1491818096830924e-05
44,0.999991401849101,1.2039214311064174e-05,1.2039110796082821e-05
45,0.9999910031156686,1.2599559869830883e-05,1.2599446513048108e-05
46,0.9999905951845438,1.3172970640986515e-05,1.3172846751628626e-05
47,0.9999901780449598,1.3759468213515176e-05,1.3759333068637007e-05
48,0.9999897516861289,1.4359074228973202e-05,1.4358927072673605e-05
49,0.9999893160972401,1.4971810381055957e-05,1.4971650423689706e-05
50,0.9999888712674607,1.559769841866451e-05,1.559752483605058e-05
51,0.9999884171859351,1.62367601429153e-05,1.623657207554155e-05
52,0.999987953841786,1.6889017408066034e-05,1.6888813960290257e-05
53,0.9999874812241131,1.7554492123050242e-05,1.7554272362297546e-05
54,0.9999869993219932,1.823320625150931e-05,1.8232969207465804e-05
55,0.9999865081244815,1.8925181809604087e-05,1.8924926473406948e-05
56,0.9999860076206097,1.963044086857186e-05,1.963016619199563e-05
57,0.9999854977993872,2.03490055547336e-05,2.0348710449372776e-05
58,0.9999849786497997,2.1080898048696308e-05,2.1080581385144184e-05
59,0.9999844501608106,2.1826140585485924e-05,2.1825801192509694e-05
60,0.999983912321361,2.2584755456113637e-05,2.2584392119825717e-05
61,0.999983365120367,2.33567650067926e-05,2.3356376469818093e-05
62,0.999982808546724,2.4142191638617295e-05,2.414177659925776e-05
63,0.9999822425893018,2.4941057809000348e-05,2.4940614920393584e-05
64,0.9999816672369487,2.5753386030582316e-05,2.575291389985845e-05
65,0.9999810824784889,2.6579198872697008e-05,2.6578696060130587e-05
66,0.9999804883027233,2.7418518960400322e-05,2.7417983978558595e-05
67,0.9999798846984288,2.8271368975539627e-05,2.8270800288426852e-05
68,0.9999792716543594,2.913777165714535e-05,2.9137167679343245e-05
69,0.9999786491592451,3.001774979923417e-05,3.0017108895038383e-05
70,0.9999780172017925,3.091132625521245e-05,3.0910646737765054e-05
71,0.9999773757706837,3.1818523933898056e-05,3.181780406431607e-05
72,0.9999767248545777,3.2739365802919124e-05,3.273860378941903e-05
73,0.9999760644421091,3.367387488639562e-05,3.367306888341386e-05
74,0.9999753945218884,3.4622074266172586e-05,3.4621222373482054e-05
75,0.9999747150825025,3.5583987083463884e-05,3.5583087345286245e-05
76,0.9999740261125134,3.655963653662348e-05,3.655868694073753e-05
77,0.9999733276004589,3.754904588260962e-05,3.754804435945545e-05
78,0.999972619534853,3.855223843746574e-05,3.855118285924486e-05
79,0.999971901904185,3.95692375750907e-05,3.9568125754861986e-05
80,0.9999711746969197,4.060006672973275e-05,4.0598896420504185e-05
81,0.9999704379014969,4.164474939340233e-05,4.1643518287218625e-05
82,0.9999696915063326,4.270330911922512e-05,4.2702014846251106e-05
83,0.9999689354998174,4.377576951857656e-05,4.377440964617635e-05
84,0.999968169870317,4.486215426320988e-05,4.486072629502182e-05
85,0.9999673946061727,4.5962487084888195e-05,4.596098845989551e-05
86,0.9999666096957005,4.707679177633912e-05,4.707521986793627e-05
87,0.9999658151271914,4.8205092189223645e-05,4.820344430427843e-05
88,0.9999650108889109,4.934741223746994e-05,4.93456856153812e-05
89,0.9999641969690999,5.0503775895676634e-05,5.050196770742767e-05
90,0.9999633733559735,5.16742071985159e-05,5.167231454572349e-05
91,0.9999625400377218,5.285873024290241e-05,5.285675015686144e-05
